# id_vlba RUNNING_ID_name     bmaj    bmin    bpa      ra_peak      dec_peak   ra_peak_err dec_peak_err p_spur     rms_image   peak_flux   peak_dflux  snr_peak tot_flux    tot_dflux   snr_tot  FLUX_VLBA   L_VLBA      L_VLBA_1sigma sep_arcsec ID_COSMOS RA_counterpart DEC_counterpart cat_ctp    zbest      zphot  zspec   zspec_ref Mstar    SNR_IR   SFR_IR         eSFR_IR        vla_slope   f1p4ghz_peak_final f1p4ghz_final df1p4ghz_final f3ghz_peak  f3ghz     df3ghz   f1p4ghz      df1p4ghz    f1p3ghz     df1p3ghz   f600mhz     df600mhz  f300mhz     df300mhz   LIR_SD      Lradio_1p4ghz q_IR        q_IR_z0p5   flux_ratio_vlba_vla delta_q_IR q_IR_corr   q_IR_z0p5_corr flag_A3COSMOS LIR_A3COSMOS id_cluster flag_cluster dist_center_arcmin dist_real_center_arcmin xray_det id_chandra Lx_2_10 
  20      VLBA_COSMOS_NEP0020 20.6844 10.5847 173.0299 149.99328416 2.03046778 5.3E-7      1.09E-6      0.87724739 1.146171E-5 6.30394E-5  1.116166E-4 4.345405 6.30394E-5  1.144641E-4 5.042381 6.30394E-5  24.48884964 23.74848747   0.13790437 294504    149.99327395   2.0305047       vla3       3.05110002 3.0511 -99.0   -99       10.74993 8.47941  160.59865188   73.78938059    -0.64309629 6.244117E-5        9.978E-5      4.2E-6         3.824816E-5 5.77E-5   3.7E-6   7.588325E-5  1.721205E-5 9.97848E-5  4.19834E-6 9.048E-5    3.4465E-5 4.0383E-4   7.2898E-5  12.2057419  24.68828161   1.52764648  1.8748504   0.63178397          0.43389731 1.52764648  1.8748504      false         -99.0        -99.       none         14.64041           27.511933               false    N/A        -99.0   
  21      VLBA_COSMOS_NEP0021 24.825  5.818   163.5008 150.278405   2.02852222 3.3E-7      9.1E-7       0.50595963 1.569115E-5 3.952E-5    7.33E-6     4.942585 3.952E-5    7.33E-6     4.942585 3.952E-5    22.87985039 22.47868919   0.116413   129017    150.27839896   2.02855399      vla3       0.7998     0.788  0.7998  106       10.20024 5.11858  60.01292945    11.72452546    -0.23314007 1.541915E-5        3.952E-5      7.33E-6        1.2909E-5   3.24E-5   2.7E-6   2.442507E-5  1.548624E-5 3.95172E-5  7.32868E-6 5.31E-5     3.846E-5  2.1098E-4   9.8358E-5  11.77824483 22.8798509    2.90858012  3.01990416  1.0                 0.0        2.90858012  3.01990416     false         -99.0        -99.       none         13.59395           18.199739               false    N/A        -99.0   
  22      VLBA_COSMOS_NEP0022 21.8141 7.1622  164.7133 150.1765728  2.03174722 3.9E-7      9.6E-7       0.55463648 2.177554E-5 2.837E-5    4.34E-6     4.875984 2.837E-5    4.34E-6     4.662908 2.837E-5    23.44677162 23.33188057   0.18135864 123814    150.17652554   2.03172969      cosmos_web 1.30680001 1.3068 -99.0   -99       10.42792 6.33083  94.94058348    35.76021977    -0.96772699 2.600947E-5        2.837E-5      4.34E-6        1.244E-5    1.244E-5  2.918E-6 3.517371E-5  1.541904E-5 2.83657E-5  4.33935E-6 1.005E-4    3.8145E-5 1.3425E-4   1.21899E-4 11.9774519  23.4467719    2.5408662   2.7765941   1.0                 0.0        2.5408662   2.7765941      false         -99.0        -99.       none         11.17747           20.272464               false    N/A        -99.0   
  23      VLBA_COSMOS_NEP0023 20.7028 8.7884  167.405  150.10001443 2.03459111 4.5E-7      1.01E-6      0.55061471 1.256076E-5 5.887E-5    5.09E-6     4.881348 5.887E-5    5.09E-6     4.881348 5.887E-5    24.27490616 23.60402679   0.01151422 80606     150.10001228   2.03458874      vla3       2.58949995 2.5895 -99.0   -99       10.65804 12.29484 188.6000788    69.08002886    -0.58718573 5.590288E-5        5.887E-5      5.09E-6        3.573384E-5 3.57E-5   3.0E-6   5.63528E-5   1.569557E-5 5.88674E-5  5.08625E-6 3.325E-5    3.7531E-5 6.563E-5    8.0344E-5  12.27554187 24.27490574   2.01082233  2.40706208  1.0                 0.0        2.01082233  2.40706208     false         -99.0        -99.       none         11.32907           22.777008               false    N/A        -99.0   
  24      VLBA_COSMOS_NEP0024 20.9145 8.3532  166.5174 150.12053804 2.03448083 5.0E-7      1.14E-6      0.82906735 2.92312E-5  3.247E-5    3.8E-6      4.456849 3.247E-5    3.8E-6      3.864373 3.247E-5    24.42157173 24.3759346    0.09176148 81634     150.12053475   2.03450611      cosmos_web 3.31590009 3.3159 -99.0   -99       11.22934 9.77783  410.10202845   158.0007815    -0.86973119 3.003628E-5        3.247E-5      3.8E-6         1.548E-5    1.548E-5  2.831E-6 3.084693E-5  1.581474E-5 3.24709E-5  3.79508E-6 5.414E-5    3.9204E-5 4.209E-5    1.07205E-4 12.61289192 24.42157112   2.20150699  2.73736196  1.0                 0.0        2.20150699  2.73736196     false         -99.0        -99.       none         11.0636            22.006784               false    N/A        -99.0   
  25      VLBA_COSMOS_NEP0025 22.0786 6.9119  164.3837 150.1893008  2.03630333 3.8E-7      9.5E-7       0.78031904 1.988502E-5 3.393E-5    5.88E-6     4.575688 3.393E-5    5.88E-6     4.505775 3.393E-5    23.35578156 23.12372398   0.28696828 125163    150.18931906   2.03638093      cosmos_web 1.17649996 1.1765 -99.0   -99       10.10327 5.00991  80.21985193    17.94996687    -0.80000001 1.173857E-5        3.393E-5      5.88E-6        6.38E-6     6.38E-6   2.731E-6 1.984226E-5  1.682173E-5 3.39311E-5  5.88407E-6 7.31E-5     4.1274E-5 3.61092E-10 1.93354E-4 11.90428186 23.35578197   2.55868608  2.76275529  1.0                 0.0        2.55868608  2.76275529     false         -99.0        -99.       none         11.03366           19.654453               false    N/A        -99.0   
  26      VLBA_COSMOS_NEP0026 22.0803 6.9086  164.3744 150.1894686  2.03696722 4.1E-7      1.03E-6      0.96835041 1.18119E-5  6.496545E-5 2.269788E-5 4.152266 6.496545E-5 2.204663E-5 4.12606  6.496545E-5 23.43311882 22.69275475   0.10421181 125164    150.18947369   2.03699572      vla3       1.01119995 1.0112 -99.0   -99       10.74869 9.06225  192.59802891   62.14936395    -0.63877877 5.471739E-5        7.702E-5      4.79E-6        3.362745E-5 4.47E-5   3.3E-6   8.786288E-5  1.807725E-5 7.70192E-5  4.78944E-6 1.0213E-4   3.8682E-5 4.1091E-4   1.88893E-4 12.28465184 23.50703909   2.78779895  2.96152707  0.84348809          0.8054526  2.78779895  2.96152707     true          12.160002    -99.       none         11.00006           19.619081               false    N/A        -99.0   
  27      VLBA_COSMOS_NEP0027 20.7165 10.6916 173.173  149.98929422 2.03823556 5.2E-7      1.06E-6      0.60592765 1.185321E-5 4.555E-5    3.4E-6      4.811322 4.555E-5    3.4E-6      4.811322 4.555E-5    23.70603752 23.12138557   0.38315565 256659    149.98919977   2.03818638      vla3       1.64859998 1.6486 -99.0   -99       10.27859 6.53272  136.20149622   24.6602709     -0.51012159 4.34506E-5         4.555E-5      3.4E-6         2.945432E-5 2.95E-5   2.8E-6   5.116395E-5  1.59031E-5  4.55535E-5  3.39982E-6 3.458E-5    3.5626E-5 8.797E-5    7.0878E-5  12.13418188 23.70603809   2.43832998  2.7415271   1.0                 0.0        2.43832998  2.7415271      false         -99.0        -99.       none         14.44906           27.403011               false    N/A        -99.0   
  28      VLBA_COSMOS_NEP0028 20.8219 8.5191  166.7493 150.11276556 2.04025389 4.9E-7      1.12E-6      0.76788789 1.254446E-5 6.899453E-5 3.378297E-5 4.606314 6.899453E-5 3.292576E-5 3.995422 6.899453E-5 23.98836327 23.2480011    0.19068299 82100     150.11271813   2.04027753      vla3       1.63549995 1.6355 -99.0   -99       10.0634  13.8839  433.5027532    158.30100538   -0.77025039 7.515198E-5        8.056E-5      5.24E-6        4.178234E-5 4.18E-5   3.2E-6   9.020614E-5  1.644227E-5 8.05565E-5  5.24399E-6 9.189E-5    3.6546E-5 2.7971E-4   9.8819E-5  12.63699186 24.05566776   2.59151029  2.91077823  0.85643658          0.84295621 2.59151029  2.91077823     false         -99.0        -99.       none         10.81175           22.026453               false    N/A        -99.0   
  29      VLBA_COSMOS_NEP0029 20.5848 10.4075 171.8845 150.01612059 2.04161639 5.4E-7      1.12E-6      0.86858952 6.884606E-5 3.149E-5    9.4E-6      4.365084 3.149E-5    9.4E-6      4.365084 3.149E-5    23.89861107 24.23831749   0.24290565 297096    150.01610119   2.04155176      vla3       2.66750002 2.6675 -99.0   -99       10.26452 7.3091   526.79530719   187.39833061   -0.35343501 2.698141E-5        3.149E-5      9.4E-6         2.06101E-5  2.06E-5   2.6E-6   3.372275E-5  1.623395E-5 2.7836E-5   5.65839E-6 3.81225E-10 3.3283E-5 7.547E-5    1.17664E-4 12.7216419  23.89861152   2.83321658  3.40657444  1.0                 0.0        2.83321658  3.40657444     true          12.710002    -99.       none         13.26255           26.039488               false    N/A        -99.0   
