# id_vlba RUNNING_ID_name     bmaj    bmin    bpa      ra_peak      dec_peak   ra_peak_err dec_peak_err p_spur     rms_image   peak_flux   peak_dflux  snr_peak tot_flux    tot_dflux   snr_tot  FLUX_VLBA   L_VLBA      L_VLBA_1sigma sep_arcsec ID_COSMOS RA_counterpart DEC_counterpart cat_counterpart zbest      zphot  zspec      zspec_ref Mstar    SNR_IR   SFR_IR        eSFR_IR        vla_slope   f1p4ghz_peak_final f1p4ghz_final df1p4ghz_final f3ghz_peak  f3ghz     df3ghz   f1p4ghz      df1p4ghz    f1p3ghz     df1p3ghz   f600mhz     df600mhz  f300mhz     df300mhz   LIR_SD      Lradio_1p4ghz q_IR       q_IR_z0    flux_ratio_vlba_vla delta_q_IR q_IR_corr  q_IR_z0_corr flag_A3COSMOS LIR_A3COSMOS id_cluster flag_cluster dist_center_arcmin dist_real_center_arcmin xray_det id_chandra Lx_2_10 
  20      VLBA_COSMOS_NEP0020 20.6844 10.5847 173.0299 149.99328416 2.03046778 5.3E-7      1.09E-6      0.87724739 1.006549E-4 4.373862E-4 1.116166E-4 4.345405 5.075403E-4 1.144641E-4 5.042381 4.373862E-4 25.15775681 24.51972771   0.13790437 480550    149.99327395   2.0305047       cosmosweb       3.0511     3.0511 -99.0      -99       10.74993 8.47941  160.5986499   73.78937968    -0.35943368 5.030147E-5        7.588325E-5   4.865997E-6    3.824816E-5 5.77E-5   3.7E-6   7.588325E-5  1.721205E-5 9.97848E-5  4.19834E-6 9.048E-5    3.4465E-5 4.0383E-4   7.2898E-5  12.20574189 24.39703832   1.81888976 2.35028826 5.7639361           0.0        1.81888976 2.35028826   false         -99.0        -99.       none         14.64041           27.511933               false    N/A        -99.0   
  21      VLBA_COSMOS_NEP0021 24.825  5.818   163.5008 150.278405   2.02852222 3.3E-7      9.1E-7       0.50595963 1.569115E-5 7.755485E-5 1.930055E-5 4.942585 7.755485E-5 1.797777E-5 4.942585 7.755485E-5 23.17287254 22.47891808   0.116413   481064    150.27839896   2.02855399      vla3            0.8        0.7907 0.8        11        10.4     5.11858  37.91         7.40635        -0.23314007 1.541915E-5        3.870016E-5   3.225014E-6    1.2909E-5   3.24E-5   2.7E-6   2.442507E-5  1.548624E-5 3.95172E-5  7.32868E-6 5.31E-5     3.846E-5  2.1098E-4   9.8358E-5  11.57875189 22.87097687   2.71796122 3.02699903 2.00399274          0.0        2.71796122 3.02699903   false         -99.0        -99.       none         13.59395           18.199739               false    N/A        -99.0   
  22      VLBA_COSMOS_NEP0022 21.8141 7.1622  164.7133 150.1765728  2.03174722 3.9E-7      9.6E-7       0.55463648 2.177554E-5 1.061772E-4 2.54192E-5  4.875984 1.015373E-4 2.433502E-5 4.662908 1.061772E-4 24.01994324 23.33188057   0.1204634  482091    150.17652554   2.03172969      cosmosweb       1.3068     1.3068 -99.0      -99       10.42792 6.33083  94.94058207   35.76021924    -0.96772699 2.600947E-5        2.600947E-5   6.100934E-6    1.244E-5    1.244E-5  2.918E-6 3.517371E-5  1.541904E-5 2.83657E-5  4.33935E-6 1.005E-4    3.8145E-5 1.3425E-4   1.21899E-4 11.97745189 23.40904402   2.57859406 3.00532063 4.082251            0.0        2.57859406 3.00532063   false         -99.0        -99.       none         11.17747           20.272464               false    N/A        -99.0   
  23      VLBA_COSMOS_NEP0023 20.7028 8.7884  167.405  150.10001443 2.03459111 4.5E-7      1.01E-6      0.55061471 3.410339E-5 1.664705E-4 4.152673E-5 4.881348 1.664705E-4 3.866291E-5 4.881348 1.664705E-4 24.73287773 24.04433632   0.01151422 483000    150.10001228   2.03458874      cosmosweb       2.5895     2.5895 -99.0      -99       10.65804 12.29484 188.60008755  69.08003207    -0.59894666 5.640622E-5        5.63528E-5    4.735529E-6    3.573384E-5 3.57E-5   3.0E-6   5.63528E-5   1.569557E-5 5.88674E-5  5.08625E-6 3.325E-5    3.7531E-5 6.563E-5    8.0344E-5  12.27554189 24.26245498   2.02327311 2.55707506 2.95407747          0.0        2.02327311 2.55707506   false         -99.0        -99.       none         11.32907           22.777008               false    N/A        -99.0   
  24      VLBA_COSMOS_NEP0024 20.9145 8.3532  166.5174 150.12069313 2.03457    4.3E-7      1.0E-6       0.77601457 2.92312E-5  1.340632E-4 3.360634E-5 4.586306 1.340632E-4 3.157511E-5 4.586306 1.340632E-4 25.03739929 24.3759346    0.38814398 483230    150.12053475   2.03450611      cosmosweb       3.3159     3.3159 -99.0      -99       11.22934 9.77783  410.10200257  158.00077154   -0.86973119 3.003628E-5        3.003627E-5   5.493068E-6    1.548E-5    1.548E-5  2.831E-6 3.084693E-5  1.581474E-5 3.24709E-5  3.79508E-6 5.414E-5    3.9204E-5 4.209E-5    1.07205E-4 12.61289189 24.38773492   2.23534316 2.92211296 4.46337737          0.0        2.23534316 2.92211296   false         -99.0        -99.       none         11.0636            22.006784               false    N/A        -99.0   
  25      VLBA_COSMOS_NEP0025 22.0786 6.9119  164.3837 150.1893008  2.03630333 3.8E-7      9.5E-7       0.78031904 1.988502E-5 9.098767E-5 2.238494E-5 4.575688 8.959745E-5 2.100636E-5 4.505775 9.098767E-5 23.76729202 23.10683632   0.21357015 484883    150.18931906   2.03638093      cosmosweb       1.1765     1.1765 -99.0      -99       10.10327 5.00991  80.21985821   17.94996827    -0.75       1.129967E-5        1.129967E-5   4.836894E-6    6.38E-6     6.38E-6   2.731E-6 1.984226E-5  1.682173E-5 3.39311E-5  5.88407E-6 7.31E-5     4.1274E-5 3.61092E-10 1.93354E-4 11.90428189 22.86137584   3.05309225 3.5206384  8.05224395          0.0        3.05309225 3.5206384    false         -99.0        -99.       none         11.03366           19.654453               false    N/A        -99.0   
  26      VLBA_COSMOS_NEP0026 22.0803 6.9086  164.3744 150.1894686  2.03696722 4.1E-7      1.03E-6      0.96835041 1.987331E-5 8.251927E-5 2.269788E-5 4.152266 8.199848E-5 2.204663E-5 4.12606  8.251927E-5 23.6122303  22.99394417   0.10421181 485345    150.18947369   2.03699572      cosmosweb       1.0112     1.0112 -99.0      -99       10.74869 9.06225  192.59805191  62.14937137    -0.88671883 6.609854E-5        8.786288E-5   6.486521E-6    3.362745E-5 4.47E-5   3.3E-6   8.786288E-5  1.807725E-5 7.70192E-5  4.78944E-6 1.0213E-4   3.8682E-5 4.1091E-4   1.88893E-4 12.28465189 23.63947983   2.65535825 3.01800404 0.9391824           1.21597069 2.65535825 3.01800404   true          12.160002    -99.       none         11.00006           19.619081               false    N/A        -99.0   
  27      VLBA_COSMOS_NEP0027 20.7165 10.6916 173.173  149.98929422 2.03823556 5.2E-7      1.06E-6      0.60592765 9.706711E-5 4.670211E-4 1.153811E-4 4.811322 4.670211E-4 1.095606E-4 4.811322 4.670211E-4 24.80672455 24.12446022   0.38315565 485349    149.98919977   2.03818638      cosmosweb       1.6486     1.6486 -99.0      -99       10.27859 6.53272  136.20149983  24.66027156    -0.72249836 5.108472E-5        5.116395E-5   4.856239E-6    2.945432E-5 2.95E-5   2.8E-6   5.116395E-5  1.59031E-5  4.55535E-5  3.39982E-6 3.458E-5    3.5626E-5 8.797E-5    7.0878E-5  12.13418189 23.84635268   2.29801541 2.74697482 9.1279324           0.0        2.29801541 2.74697482   false         -99.0        -99.       none         14.44906           27.403011               false    N/A        -99.0   
  28      VLBA_COSMOS_NEP0028 20.8219 8.5191  166.7493 150.11276556 2.04025389 4.9E-7      1.12E-6      0.76788789 2.996613E-5 1.380334E-4 3.378297E-5 4.606314 1.197273E-4 3.292576E-5 3.995422 1.380334E-4 24.39012527 23.72677231   0.19068299 486997    150.11271813   2.04027753      cosmosweb       1.6355     1.6355 -99.0      -99       10.0634  13.8839  433.5027831   158.3010163    -1.00926489 9.016803E-5        9.020614E-5   6.905733E-6    4.178234E-5 4.18E-5   3.2E-6   9.020614E-5  1.644227E-5 8.05565E-5  5.24399E-6 9.189E-5    3.6546E-5 2.7971E-4   9.8819E-5  12.63699189 24.20537685   2.44180124 2.91620152 1.53019946          0.0        2.44180124 2.91620152   false         -99.0        -99.       none         10.81175           22.026453               false    N/A        -99.0   
  29      VLBA_COSMOS_NEP0029 20.5848 10.4075 171.8845 150.01612059 2.04161639 5.4E-7      1.12E-6      0.86858952 6.884606E-5 3.005188E-4 7.947821E-5 4.365084 3.005188E-4 7.809884E-5 4.365084 3.005188E-4 24.87831116 24.23831749   0.24290565 487248    150.01610119   2.04155176      cosmosweb       2.6675     2.6675 -99.0      -99       10.26452 7.3091   526.79529807  187.39832737   -0.35343501 2.698141E-5        2.696819E-5   3.403752E-6    2.06101E-5  2.06E-5   2.6E-6   3.372275E-5  1.623395E-5 2.7836E-5   5.65839E-6 3.81225E-10 3.3283E-5 7.547E-5    1.17664E-4 12.72164189 23.83129068   2.90053741 3.68025523 11.14345526         0.0        2.90053741 3.68025523   true          12.710002    -99.       none         13.26255           26.039488               false    N/A        -99.0   
